기준일,메이저금속지수
2014-10-09,1520.563045
2014-10-10,1514.53074
2014-10-13,1506.291432
2014-10-14,1535.925
2014-10-15,1531.908054
2014-10-16,1525.756892
2014-10-17,1482.699086
2014-10-20,1500.867492
2014-10-21,1508.175904
2014-10-22,1513.027987
2014-10-23,1523.592316
2014-10-24,1512.372747
2014-10-27,1511.086492
2014-10-28,1507.653569
2014-10-29,1519.86279
2014-10-30,1527.5798
2014-10-31,1525.623499
2014-11-03,1541.847437
2014-11-04,1531.927979
2014-11-05,1517.549573
2014-11-06,1498.083872
2014-11-07,1499.868299
2014-11-10,1510.895012
2014-11-11,1507.22887
2014-11-12,1498.174921
2014-11-13,1517.734239
2014-11-14,1516.742631
2014-11-17,1499.087219
2014-11-18,1507.590155
2014-11-19,1479.943206
2014-11-20,1476.760924
2014-11-21,1479.481297
2014-11-24,1500.562884
2014-11-25,1494.320162
2014-11-26,1491.651838
2014-11-27,1483.064396
2014-11-28,1491.005343
2014-12-01,1481.358195
2014-12-02,1461.848364
2014-12-03,1462.919414
2014-12-04,1446.673527
2014-12-05,1465.402708
2014-12-08,1476.673884
2014-12-09,1451.331233
2014-12-10,1437.279352
2014-12-11,1444.34922
2014-12-12,1438.161468
2014-12-15,1437.721311
2014-12-16,1441.743766
2014-12-17,1414.577617
2014-12-18,1394.989681
2014-12-19,1404.336221
2014-12-22,1415.651813
2014-12-23,1407.854101
2014-12-24,1390.266859
2014-12-29,1385.980389
2014-12-30,1389.657418
2014-12-31,1401.71237
2015-01-04,1407.543128
2015-01-05,1402.31077
2015-01-06,1385.618796
2015-01-07,1387.727621
2015-01-08,1381.1813
2015-01-09,1391.535742
2015-01-12,1388.80365
2015-01-13,1375.898533
2015-01-14,1347.701391
2015-01-15,1318.878643
2015-01-16,1333.377765
2015-01-19,1331.74222
2015-01-20,1338.912673
2015-01-21,1350.567039
2015-01-22,1340.637386
2015-01-23,1352.94467
2015-01-26,1327.756036
2015-01-27,1304.592781
2015-01-28,1317.531508
2015-01-29,1312.189482
2015-01-30,1297.685284
2015-02-02,1305.114707
2015-02-03,1312.70021
2015-02-04,1333.559705
2015-02-05,1326.696441
2015-02-06,1310.315475
2015-02-09,1327.877758
2015-02-10,1316.162642
2015-02-11,1312.590541
2015-02-12,1307.325829
2015-02-13,1311.485581
2015-02-16,1324.451809
2015-02-17,1328.499348
2015-02-18,1306.792516
2015-02-19,1307.478343
2015-02-20,1309.401184
2015-02-23,1306.122455
2015-02-24,1296.592867
2015-02-25,1310.042265
2015-02-26,1309.230473
2015-02-27,1318.23171
2015-03-02,1310.66526
2015-03-03,1311.802116
2015-03-04,1301.573022
2015-03-05,1304.29527
2015-03-06,1293.866498
2015-03-09,1290.853696
2015-03-10,1282.399882
2015-03-11,1274.38072
2015-03-12,1272.042853
2015-03-13,1275.254563
2015-03-16,1272.736745
2015-03-17,1280.501026
2015-03-18,1262.303188
2015-03-19,1249.789722
2015-03-20,1256.882075
2015-03-23,1262.233034
2015-03-24,1285.179876
2015-03-25,1292.766963
2015-03-26,1286.269691
2015-03-27,1294.202832
2015-03-30,1270.19187
2015-03-31,1264.367742
2015-04-01,1250.592775
2015-04-02,1232.430513
2015-04-07,1223.758143
2015-04-08,1235.270479
2015-04-09,1237.229545
2015-04-10,1239.357419
2015-04-13,1237.967288
2015-04-14,1245.178629
2015-04-15,1246.1291
2015-04-16,1253.070143
2015-04-17,1272.380174
2015-04-20,1277.561778
2015-04-21,1276.792408
2015-04-22,1267.023964
2015-04-23,1283.78879
2015-04-24,1284.58882
2015-04-27,1316.228089
2015-04-28,1333.510453
2015-04-29,1347.324345
2015-04-30,1335.301253
